7	Nice.
22	I'm not holding it.
181	4 and 2 bottles of beer...
187	500 bottles of 8...
193	Tenty-thousand bottles of 300...
228	Da da-da da da da da da!
230	4...hiccup...one-ty...um...
237	uh....500 hundred...uh...
243	10,000...uh.. 30...err...
263	Da, da da-da da da da da da...
264	Da da-da da da...
265	Da da da da, da da da-da...
266	Da da-da da da da da da!
281	`THRIFTY-DIG-- For the treasure hunter on a budget.`
310	This0xA0is0xA0a0xA0toll0xA0bridge.0xA0You0xA0gotta0xA0pay.
312	Is this some sort of bribe situation?
313	Sure. Take my money. I don't want any trouble.
314	Sure.  Take my money.  I don't want any trouble.
315	Who's gonna make me, shorty?
316	I don't pay for nothin'. I'm a pirate!
321	Tough guy, huh?
326	There's no police on Scabb Island!
333	Maybe0xA0I0xA0should0xA0cut0xA0you0xA0one0xA0out0xA0of0xA0cement!
391	Did I mention that I'm Guybrush the LeChuck-busting stud?
393	Hi. I'm Guybrush Threepwood, LeChuck-busting stud.
404	Nobody sent me. I'm free-lance.
405	I was sent by the I.R.S.  Let me see your files.
406	Don't shoot! I was just asking.
407	Well, well. Aren't we jumpy?
415	Are you looking for Big Whoop, too?
418	I'm looking for Big Whoop myself. Wanna help?
451	Wow. That's some story.
465	Hey! I did it! Largo LaGrande left Scabb!
474	Is longitude the sideways one, or is that latitude?
475	Thanks.  I gotta go.
476	Would you mind if I just looked around?
491	You do open-heart surgery?
550	I can't see a thing without me monocle!
561	Pretty nice map, eh?
618	I can't believe somebody would STEAL it...
688	Hey... Ah... How's the stew tonight?
698	Shaken, not stirred.
702	Look at my beard!
716	I must have left my ID in my other pants.
718	In that case, I'll take my business elsewhere.
722	Why?
728	Why?
755	Maybe later. I gotta go now.
791	Ha ha ha. Hilarious.
813	As a matter of fact, there is.
814	It's a story of the Ghost Pirate LeChuck and his gruesome demise--
861	A little.
863	Are you saying there's an opening in the kitchen?
866	No thanks. I like being my own boss.
867	I dunno. How much does it pay?
868	Can I have some time to think about it?
887	I went out for a swim.
998	Aw, isn't that cute.
1079	Nice April-fresh scent!
1090	I'm gonna tear you limb from limb!
1153	I... uh... thought it was my room?
1192	Nice April-fresh scent!
